constructorId,constructor_name,nationality
160,Wetteroth,American
120,Dunn,American
149,Sherman,American
162,Snowberger,American
158,Rae,American
136,Pankratz,American
111,Trevis,American
88,Eagle,American
109,Phillips,American
138,Nichels,American
159,Olson,American
67,Penske,American
122,Sutton,American
129,Stevens,American
114,Kuzma,American
156,Marchese,American
113,Kurtis Kraft,American
139,Bromme,American
190,Eagle-Weslake,American
107,Watson,American
119,Moore,American
108,Epperly,American
116,Ewing,American
189,Eagle-Climax,American
210,Haas F1 Team,American
106,Scarab,American
155,Hall,American
115,Christensen,American
142,Turner,American
73,Parnelli,American
112,Meskowski,American
134,Schroeder,American
110,Lesovsky,American
161,Adams,American
121,Elder,American
135,Pawl,American
143,Del Roy,American
157,Langley,American
150,Deidt,American
69,McGuire,Australian
9,Red Bull,Austrian
100,ENB,Belgian
56,Fittipaldi,Brazilian
24,Stewart,British
92,Scirocco,British
197,BRM-Ford,British
75,Embassy Hill,British
198,McLaren-Alfa Romeo,British
52,Spirit,British
58,Shadow,British
169,Cooper-Borgward,British
152,Aston Butterworth,British
171,Cooper-Castellotti,British
191,Brabham-Repco,British
186,Cooper-Ford,British
194,McLaren-BRM,British
80,Iso Marlboro,British
84,Connew,British
151,ERA,British
204,Brabham-Alfa Romeo,British
87,Cooper,British
167,Cooper-Maserati,British
183,Brabham-Climax,British
199,March-Alfa Romeo,British
200,March-Ford,British
201,Lotus-Pratt &amp; Whitney,British
177,Lotus-Borgward,British
31,Simtek,British
16,BAR,British
25,Tyrrell,British
79,Token,British
125,Connaught,British
26,Lola,British
94,BRP,British
117,Aston Martin,British
76,Lyncar,British
133,HWM,British
188,McLaren-Serenissima,British
208,Lotus F1,British
46,Onyx,British
102,Ferguson,British
148,Frazer Nash,British
172,Lotus-Climax,British
19,Jaguar,British
37,March,British
34,Brabham,British
77,Trojan,British
126,Alta,British
203,Shadow-Matra,British
209,Manor Marussia,British
50,RAM,British
178,Cooper-Alfa Romeo,British
187,McLaren-Ford,British
66,BRM,British
91,Shannon,British
99,Emeryson,British
166,Virgin,British
97,Gilby,British
29,Footwork,British
101,JBW,British
193,Cooper-ATS,British
30,Pacific,British
53,Toleman,British
83,Politoys,British
202,Shadow-Ford,British
21,Arrows,British
182,Brabham-Ford,British
96,Derrington,British
63,Surtees,British
68,LEC,British
118,Vanwall,British
195,Cooper-BRM,British
57,Ensign,British
123,Fry,British
180,Lotus-Ford,British
23,Brawn,British
192,Cooper-Ferrari,British
181,Brabham-BRM,British
176,Lotus-BRM,British
1,McLaren,British
32,Team Lotus,British
41,Leyton House,British
64,Hesketh,British
170,Cooper-Climax,British
3,Williams,British
90,Protos,British
168,Cooper-OSCA,British
173,Lotus-Maserati,British
211,Racing Point,British
98,Stebro,Canadian
59,Wolf,Canadian
14,Spyker MF1,Dutch
12,Spyker,Dutch
70,Boro,Dutch
146,EMW,East German
20,Prost,French
141,Simca,French
4,Renault,French
33,Larrousse,French
196,Matra-Ford,French
130,Bugatti,French
128,Gordini,French
154,Talbot-Lago,French
82,Matra,French
65,Martini,French
27,Ligier,French
39,AGS,French
214,Alpine F1 Team,French
61,Kauhsen,German
147,AFM,German
49,Zakspeed,German
48,Rial,German
140,Klenk,German
95,Porsche,German
131,Mercedes,German
2,BMW Sauber,German
144,Veritas,German
145,BMW,German
55,Theodore,Hong Kong
10,Force India,Indian
17,Jordan,Irish
44,Euro Brun,Italian
36,Fondmetal,Italian
81,Tecno,Italian
132,Lancia,Italian
174,De Tomaso-Osca,Italian
42,Coloni,Italian
104,Behra-Porsche,Italian
28,Forti,Italian
213,AlphaTauri,Italian
6,Ferrari,Italian
127,OSCA,Italian
86,De Tomaso,Italian
5,Toro Rosso,Italian
163,Milano,Italian
38,Andrea Moda,Italian
54,ATS,Italian
18,Minardi,Italian
105,Maserati,Italian
215,RB F1 Team,Italian
47,Life,Italian
124,Tec-Mec,Italian
179,De Tomaso-Ferrari,Italian
45,Osella,Italian
60,Merzario,Italian
22,Benetton,Italian
35,Dallara,Italian
137,Arzani-Volpini,Italian
153,Cisitalia,Italian
175,De Tomaso-Alfa Romeo,Italian
40,Lambo,Italian
7,Toyota,Japanese
8,Super Aguri,Japanese
74,Maki,Japanese
72,Kojima,Japanese
11,Honda,Japanese
207,Caterham,Malaysian
205,Lotus,Malaysian
62,Rebaque,Mexican
78,Amon,New Zealander
93,RE,Rhodesian
206,Marussia,Russian
13,MF1,Russian
184,LDS-Climax,South African
185,LDS-Alfa Romeo,South African
89,LDS,South African
164,HRT,Spanish
85,Bellasi,Swiss
15,Sauber,Swiss
51,Alfa Romeo,Swiss
71,Apollon,Swiss
103,MBM,Swiss
