raceId,driverId,stop,milliseconds,duration,lap
1045,1,1,1163979,19:23.979,1
1128,1,1,2375369,39:35.369,1
950,1,1,29322,29.322,1
986,1,1,29283,29.283,1
982,1,1,30442,30.442,1
895,1,1,25297,25.297,1
1083,1,1,3046888,50:46.888,1
1124,1,1,1580696,26:20.696,1
1079,1,1,31054,31.054,1
962,1,1,24453,24.453,1
1118,1,1,18521,18.521,1
1001,1,1,19372,19.372,1
987,1,1,19377,19.377,1
982,1,2,24368,24.368,2
911,1,1,25580,25.580,2
1128,1,51,24232,24.232,2
914,1,1,1137295,18:57.295,2
1062,1,1,1449259,24:09.259,2
1107,1,1,16415,16.415,2
1118,1,2,1406375,23:26.375,2
1054,1,1,22426,22.426,2
987,1,2,19237,19.237,2
1061,1,1,2048376,34:08.376,2
1092,1,1,396504,6:36.504,2
1033,1,1,22320,22.320,3
987,1,3,18725,18.725,3
1020,1,1,20203,20.203,3
1111,1,1,20266,20.266,3
982,1,3,24337,24.337,3
869,1,1,21012,21.012,3
1054,1,2,22164,22.164,3
970,1,1,22999,22.999,4
1062,1,2,21731,21.731,4
927,1,1,26094,26.094,4
861,1,1,24271,24.271,5
970,1,2,17616,17.616,5
950,1,2,25179,25.179,5
882,1,1,20379,20.379,5
970,1,3,17737,17.737,6
888,1,1,19487,19.487,6
950,1,3,22301,22.301,6
1071,1,1,17910,17.910,7
1039,1,1,17536,17.536,7
968,1,1,22600,22.600,7
897,1,1,21372,21.372,7
1123,1,1,17596,17.596,7
1009,1,1,21283,21.283,7
881,1,1,24933,24.933,7
957,1,1,30343,30.343,7
1092,1,2,25059,25.059,7
896,1,1,23546,23.546,8
855,1,1,21091,21.091,8
1071,1,2,18660,18.660,8
910,1,1,23800,23.800,8
1039,1,2,1436696,23:56.696,8
917,1,1,23351,23.351,8
887,1,1,29026,29.026,8
1044,1,1,23860,23.860,8
1100,1,1,925181,15:25.181,8
884,1,1,22018,22.018,9
1111,1,2,19970,19.970,9
1081,1,1,21470,21.470,9
960,1,1,1000478,16:40.478,9
1082,1,1,23845,23.845,9
890,1,1,21840,21.840,9
863,1,1,28341,28.341,9
1125,1,1,22518,22.518,9
844,1,1,20833,20.833,9
894,1,1,22270,22.270,9
1101,1,1,20324,20.324,9
1047,1,1,22406,22.406,10
883,1,1,22072,22.072,10
862,1,1,20903,20.903,10
918,1,1,21885,21.885,10
1072,1,1,20580,20.580,10
879,1,1,24410,24.410,10
852,1,1,21895,21.895,10
1006,1,1,23693,23.693,11
1134,1,1,23188,23.188,11
965,1,1,23601,23.601,11
945,1,1,21346,21.346,11
1015,1,1,24266,24.266,11
1037,1,1,23298,23.298,11
845,1,1,19761,19.761,11
854,1,1,30142,30.142,11
1074,1,1,25201,25.201,11
891,1,1,23397,23.397,11
1057,1,1,22470,22.470,11
1007,1,1,22269,22.269,11
842,1,1,22552,22.552,12
1098,1,1,24682,24.682,12
848,1,1,20340,20.340,12
994,1,1,23739,23.739,12
873,1,1,29124,29.124,12
851,1,1,21880,21.880,12
1106,1,1,24339,24.339,12
1121,1,1,25087,25.087,12
849,1,1,25100,25.100,12
1093,1,1,24362,24.362,12
1110,1,1,23090,23.090,12
1137,1,1,21289,21.289,12
976,1,1,20418,20.418,12
980,1,1,22037,22.037,12
880,1,1,22155,22.155,13
892,1,1,24460,24.460,13
1142,1,1,21067,21.067,13
939,1,1,28917,28.917,13
1011,1,1,24255,24.255,13
907,1,1,22226,22.226,13
913,1,1,29422,29.422,13
867,1,1,19355,19.355,13
1072,1,2,995856,16:35.856,13
971,1,1,30687,30.687,13
949,1,1,24512,24.512,13
854,1,2,33456,33.456,13
1013,1,1,19993,19.993,13
937,1,1,22403,22.403,13
1052,1,1,24839,24.839,13
964,1,1,22989,22.989,13
930,1,1,24586,24.586,13
1069,1,1,24481,24.481,13
1034,1,1,28805,28.805,13
875,1,1,19638,19.638,13
959,1,1,18650,18.650,14
1004,1,1,29551,29.551,14
1107,1,2,21993,21.993,14
1073,1,1,21595,21.595,14
944,1,1,24328,24.328,14
861,1,2,27961,27.961,14
864,1,1,21963,21.963,14
928,1,1,22645,22.645,14
914,1,2,23891,23.891,14
1035,1,1,28406,28.406,14
1072,1,3,1086674,18:06.674,15
1136,1,1,24469,24.469,15
955,1,1,20108,20.108,15
1120,1,1,22195,22.195,15
893,1,1,29032,29.032,15
843,1,1,20878,20.878,15
901,1,1,24604,24.604,15
854,1,3,24342,24.342,15
1003,1,1,28946,28.946,15
1080,1,1,24796,24.796,15
929,1,1,25791,25.791,15
1010,1,1,21515,21.515,15
856,1,1,20846,20.846,15
962,1,2,29150,29.150,15
940,1,1,22750,22.750,16
948,1,1,21940,21.940,16
916,1,1,24368,24.368,16
1114,1,1,24841,24.841,16
850,1,1,20982,20.982,16
958,1,1,21441,21.441,16
1130,1,1,21840,21.840,16
995,1,1,23335,23.335,16
859,1,1,21099,21.099,16
1109,1,1,21974,21.974,16
857,1,1,22530,22.530,16
858,1,1,19439,19.439,16
874,1,1,21148,21.148,16
1041,1,1,23983,23.983,16
1133,1,1,21306,21.306,16
841,1,1,23227,23.227,16
1040,1,1,41352,41.352,16
860,1,1,22862,22.862,17
911,1,2,23066,23.066,17
976,1,2,15234,15.234,17
969,1,1,21709,21.709,17
957,1,2,28728,28.728,17
1119,1,1,25047,25.047,17
966,1,1,21709,21.709,17
903,1,1,22968,22.968,17
951,1,1,30001,30.001,17
1138,1,1,29272,29.272,17
866,1,1,21375,21.375,17
1085,1,1,37189,37.189,18
1096,1,1,21270,21.270,18
1051,1,1,25235,25.235,18
948,1,2,1090087,18:10.087,18
1099,1,1,21102,21.102,18
879,1,2,21606,21.606,18
853,1,1,22083,22.083,18
942,1,1,24354,24.354,18
1118,1,3,23571,23.571,18
991,1,1,22464,22.464,18
870,1,1,20436,20.436,18
904,1,1,22951,22.951,18
1077,1,1,32740,32.740,18
1062,1,3,21516,21.516,19
985,1,1,23402,23.402,19
934,1,1,28417,28.417,19
989,1,1,21821,21.821,19
1045,1,2,24061,24.061,19
1023,1,1,23912,23.912,19
902,1,1,24687,24.687,19
1086,1,1,21699,21.699,19
886,1,1,20879,20.879,19
936,1,1,23146,23.146,19
1008,1,1,22641,22.641,19
906,1,1,24417,24.417,19
1059,1,1,30263,30.263,19
1019,1,1,28905,28.905,20
878,1,1,20814,20.814,20
844,1,2,21075,21.075,20
1038,1,1,24671,24.671,20
963,1,1,23689,23.689,20
1064,1,1,19770,19.770,20
1113,1,1,32631,32.631,20
967,1,1,2010361,33:30.361,20
1116,1,1,24916,24.916,20
1029,1,1,22882,22.882,20
899,1,1,22655,22.655,21
855,1,2,22821,22.821,21
